"ano","sigla_uf","va_agropecuaria","va_industria","va_servicos","va_adespss"
2012,"DF",493362.299,9705773.895,67883270.248,60179416.257
2013,"DF",612235.25,9690310.704,73716987.942,66783401.57
2014,"DF",770067.554,11346921.785,85358920.839,73725855.841
2015,"DF",626694.085,9996983.948,92375778.698,83294594.587
2016,"DF",820754.661,9662357.225,103859865.83,92051447.72
2017,"DF",828313.642,8448768.236,108322119.432,98002586.38
2018,"DF",1022690.641,9541298.29,113768086.938,101792841.454
2019,"DF",992393.584,9453608.031,125261853.488,107219248.727
2020,"DF",1623976.909,10942472.569,116547655.37,111267001.381
2021,"DF",2286948.384,10235489.638,127696742.323,116809197.663
2012,"GO",14076185.796,31753852.461,58523824.008,18122620.723
2013,"GO",16443064.606,34474150.791,62138112.013,20752958.079
2014,"GO",15645244.889,34823316.823,73155671.702,22936108.235
2015,"GO",16107352.63,37806900.135,76120154.718,24539044.436
2016,"GO",19727710.795,37192410.1,79562123.678,25625050.386
2017,"GO",19423014.552,37097357.607,86094314.437,28686493.566
2018,"GO",19905389.676,36092370.052,87575964.086,30316443.768
2019,"GO",21176310.751,39177869.336,91287240.882,33555499.807
2020,"GO",29022562.983,47124851.605,89797907.218,33887411.335
2021,"GO",42437487.322,53006222.575,105981332.309,36728695.291
2012,"MT",17431769.554,11064469.518,30643168.187,11310750.153
2013,"MT",18403528.187,13826119.832,33175417.134,13074720.159
2014,"MT",19080402.261,15824596.355,41243642.012,14662761.311
2015,"MT",19323226.798,17124333.398,44688809.409,16461404.866
2016,"MT",25083183.867,18327662.678,49629725.275,18874487.993
2017,"MT",22529143.287,17045048.654,52831420.277,19912251.528
2018,"MT",25684098.881,19398439.739,56343006.152,21268606.648
2019,"MT",27051018.424,20585079.174,56980389.866,22001917.567
2020,"MT",46004316.712,27663774.477,62253821.958,23686938.663
2021,"MT",79882438.692,32177974.355,73276756.241,25007411.254
2012,"MS",9672427.63,12318089.087,22393201.005,10256863.217
2013,"MS",10848014.821,13534624.371,25054324.84,11809777.797
